character,degree_centrality,strength,eigenvector
MOLECULE MAN/OWEN RE,0.026401615157633174,699,0.013677254443229193
DR. SPECTRUM/JOSEPH,0.0279546513433763,697,0.006693372615593189
"BRIDGE, GEORGE WASHI",0.043795620437956206,688,0.0028933535645794296
"TALBOT, GLENN",0.019568255940363412,686,0.007439229503736737
VANGUARD/NICOLAI KRY,0.04410622767510483,684,0.009205390798033444
"ROBERTSON, RANDY",0.025159186209038672,683,0.0044104551559131806
ELECTRO/MAX DILLON,0.04488274576797639,679,0.0066528532311830434
WHIZZER II/STANLEY S,0.0267122223947818,678,0.0066601924956645395
CITIZEN V III/DALLAS,0.03634104674638919,678,0.003981726374401942
MANTIS/? BRANDT,0.023606150023295542,676,0.015686544729575973
MANDARIN,0.03711756483926076,675,0.010089186470048488
"ROM, SPACEKNIGHT",0.03742817207640938,675,0.0041437014077262534
TRIATHLON/DELROY GAR,0.031681938189159806,674,0.013942092004906897
PUPPET MASTER/PHILLI,0.038359993787855255,674,0.013343028204619741
LEADER/SAM STERNS,0.02950768752911943,670,0.009190770106164712
"ROSENTHAL, BERNIE",0.02904177667339649,668,0.009594899660788636
THANOS DOPPELGANGER,0.024227364497592795,663,0.010988701137501455
PHOENIX II,0.022674328311849668,662,0.010638724226987964
EXECUTIONER II/SKURG,0.03634104674638919,659,0.009778732760993369
FIRELORD/PYREUS KRIL,0.032458456282031374,650,0.00970453132318997
"ARBOGAST, BAMBI",0.031060723714862556,647,0.009254421646453749
SPIRAL,0.03416679608634881,647,0.006156411934520083
DIAMOND LIL/LILLIAN,0.017083398043174405,646,0.003534050964106272
RHINO,0.04907594346948284,641,0.0060870235973277545
CALLISTO,0.03028420562199099,640,0.006874957503842419
"LUBENSKI, NATE",0.02578040068333592,632,0.004850011522031981
COBRA/KLAUS VORHEES,0.03680695760211213,631,0.005219706610328959
VASHTI,0.032613759900605686,631,0.00633203508417642
CARGIL/JOANNA CARGIL,0.03494331417922038,628,0.005622115782336634
PERSUASION/KARA KILL,0.017394005280323033,624,0.003175053171583845
"HODGE, CAMERON",0.025159186209038672,616,0.00758359892206281
BEYONDER,0.03665165398353782,615,0.009356192881215879
"POWER, DR. JIM",0.02562509706476161,614,0.0046213980716156
DEATHBIRD [SHI'AR],0.03214784904488275,608,0.007480670154782173
FORGOTTEN ONE/GILGAM,0.02904177667339649,608,0.009420615781676288
GLADIATOR II,0.03509861779779469,606,0.00749379033994924
M,0.022053113837552415,603,0.00227238392290013
"JONES, MARLO CHANDLE",0.02733343686907905,601,0.004760674372219912
"MERCADO, JOY",0.02158720298182948,600,0.003685075605135481
MASTERMIND/JASON WYN,0.027488740487653363,599,0.009566425286646448
"WINGFOOT, WYATT",0.023606150023295542,594,0.015096153238644747
PALADIN/PAUL DENNIS,0.046591085572293835,593,0.004143390315115293
SUPREME INTELLIGENCE,0.036962261220686445,592,0.009900972483313794
"WISDOM, PETER",0.025469793446187296,592,0.004717529098378157
TRAPSTER/PETER PETRU,0.03665165398353782,591,0.010856578049669262
VIPER II,0.03804938655070663,580,0.005853420195637931
VULTURE/ADRIAN TOOME,0.030905420096288244,579,0.005541798433911071
"HUNTER, STEVIE",0.023295542786146917,578,0.006538460884881506
ZEUS,0.03447740332349744,576,0.00748633624663044
"OSBORN, NORMIE",0.028886473054822177,571,0.0037557728900043134
"STANKOWICZ, FABIAN",0.030750116477713932,569,0.009054780032389097
STARSHINE II/BRANDY,0.027488740487653363,569,0.002408741189774596
MR. SINISTER/NATHAN,0.029352383910545118,567,0.006563751187000349
ANACONDA/BLANCHE SIT,0.02717813325050474,565,0.003534349198304307
"QUARTERMAIN, CLAY",0.020810684888957914,558,0.004898374666289857
BLACK MAMBA/TANYA SE,0.0279546513433763,551,0.003161881634138095
"SOUTHERN, CANDY",0.0267122223947818,550,0.008056327489933734
GATEWAY,0.028886473054822177,549,0.005114298729934686
STRYFE,0.0206553812703836,548,0.004985042235776384
"POWER, MARGARET",0.023140239167572605,547,0.004174595094750425
KRISTOFF/KRISTOFF VE,0.022984935548998293,546,0.010376759423117273
COLLECTOR/TANELEER T,0.03012890200341668,546,0.009154265867773528
ATTUMA,0.03354558161205156,544,0.008152371336501783
WIDGET,0.019878863177512036,543,0.003047198968287925
DEADPOOL/JACK/WADE W,0.032458456282031374,543,0.001690784122156082
SELENE,0.028886473054822177,540,0.004310830712812587
ARCANNA/ARCANNA JONE,0.023606150023295542,540,0.0028103472047163883
CONSTRICTOR/FRANK PA,0.04068954806646995,539,0.004527540841462005
FRIGGA,0.01832582699176891,538,0.004018957988502769
"STACY, JILL",0.02453797173474142,537,0.00419007766564053
"BALLANTINE, KAYLA",0.03494331417922038,537,0.00437155918894153
JOSEPH,0.0206553812703836,534,0.00886506038437339
WHIZZER/ROBERT L. FR,0.032458456282031374,529,0.010382569397052115
TORPEDO III/BROCK JO,0.03509861779779469,526,0.004253947100464587
THINKER,0.03463270694207175,526,0.010951932540924749
MASTER MOLD II,0.031060723714862556,525,0.0065959426083878284
VOLCANA/MARSHA ROSEN,0.022053113837552415,524,0.00962227157033827
ASP II/CLEO,0.02500388259046436,519,0.0026032518614093982
DEMOLITION MAN/DENNI,0.026556918776207486,515,0.007455328047004853
SCANNER II,0.023295542786146917,514,0.00405178368937534
"KELLY, SEN. ROBERT E",0.03292436713775431,511,0.005807503717688882
RINTRAH,0.022674328311849668,509,0.003558149317531491
"AUSTIN, SUSAN",0.01910234508464047,508,0.003753922608164862
COPYCAT/VANESSA,0.023606150023295542,508,0.0023749571341721443
LADY LARK/LINDA LEWI,0.0206553812703836,507,0.005405643289034457
HYDROMAN/MORRIE BENC,0.0340114924677745,507,0.005259464357229735
"CORTEZ, FABIAN",0.024227364497592795,506,0.004794602287668215
MR. FANTASTIC DOPPEL,0.02500388259046436,505,0.00834724876659503
"ROBERTSON, MARTHA",0.022984935548998293,505,0.002929428800272681
"STUART, DR. ALISTAIR",0.017704612517471657,501,0.00312189210859665
"GREY, DR. JOHN",0.02686752601335611,500,0.006807470546048293
MADAME MASQUE/GIULIE,0.025159186209038672,499,0.007619744870866551
DORMAMMU,0.023761453641869858,498,0.005091658596515401
CR'REEE,0.02003416679608635,498,0.005545349388743488
MAD DOG/COLONEL BUZZ,0.03028420562199099,494,0.005857270049323536
BOOMERANG/FRED MYERS,0.03665165398353782,494,0.0027568076536045845
LORELEI II/MELODI [A,0.01894704146606616,494,0.004225984445472515
ULIK,0.019878863177512036,493,0.00357594531984849
PRINCESS PYTHON/ZELD,0.02950768752911943,492,0.0039071248397166344
TIGER SHARK/TODD ARL,0.029662991147693742,488,0.004223277694252943
"MASTERSON, KEVIN",0.019723559558937724,488,0.00457942945345995
BLACK GOLIATH/DR. WI,0.02950768752911943,481,0.00759719932446255
GHAUR [DEVIANT],0.030439509240565307,480,0.005942310879548279
TOMBSTONE/LONNIE THO,0.022519024693275352,479,0.001960032126492956
SAURON/DR. KARL LYKO,0.024227364497592795,479,0.005103114235499338
MISTER HYDE/CALVIN Z,0.032458456282031374,477,0.004917762242536611
WEREWOLF BY NIGHT/JA,0.030439509240565307,477,0.003206808029873231
DRACULA/VLAD TEPES,0.02609100792048455,477,0.0033786451735798
KRO [DEVIANT],0.02391675726044417,476,0.0020979533361590243
KISMET/J'RIDIA STARD,0.030750116477713932,475,0.005698350328820852
